datetime,x,y,seq,village
20200117 14:59,120.8382,24.6280,1280,造橋鄉龍昇村
20200117 15:00,120.8871,24.6825,1282,頭份市田寮里
20200117 15:00,120.8692,24.6563,1283,竹南鎮公館里
20200117 15:00,120.8744,24.6820,1285,竹南鎮正南里
20200117 15:00,120.8670,24.6703,1286,竹南鎮大厝里
20200117 15:01,120.9375,24.6887,1288,頭份市興隆里
20200117 15:01,120.9329,24.6859,1289,頭份市新華里
20200117 15:01,120.9317,24.6825,1290,頭份市新華里
20200117 15:01,120.9180,24.6794,1292,頭份市上興里
20200117 15:01,120.9311,24.6855,1293,頭份市新華里
20200117 15:01,120.932,24.6796,1294,頭份市新華里
20200117 15:01,120.9459,24.7026,1295,頭份市興隆里
20200117 15:01,120.9199,24.6810,1296,頭份市上興里
20200117 15:01,120.9375,24.6887,1297,頭份市興隆里
20200117 15:01,120.9459,24.7026,1298,頭份市興隆里
20200117 15:01,120.9319,24.6802,1299,頭份市新華里
20200117 15:01,120.9306,24.6936,1300,頭份市上埔里
20200117 15:01,120.9459,24.7026,1301,頭份市興隆里
20200117 15:01,120.9313,24.6838,1302,頭份市新華里
20200117 15:01,120.9319,24.6802,1303,頭份市新華里
20200117 15:02,120.9818,24.7259,1304,寶山鄉新城村
20200117 15:03,121.0314,24.7705,1309,竹東鎮柯湖里
20200117 15:03,121.0080,24.7408,1311,寶山鄉油田村
20200117 15:03,120.9818,24.7260,1314,寶山鄉新城村
20200117 15:04,121.0314,24.7707,1317,竹東鎮柯湖里
20200117 15:04,121.0315,24.7782,1319,竹東鎮頭重里
20200117 15:05,121.0362,24.7952,1327,竹東鎮員山里
20200117 15:05,121.0350,24.7830,1328,竹東鎮頭重里
20200117 15:05,121.0347,24.7862,1330,竹東鎮員山里
20200117 15:05,121.0356,24.7918,1333,竹東鎮員山里
20200117 15:05,121.0340,24.7826,1334,竹東鎮頭重里
20200117 15:05,121.0347,24.7862,1336,竹東鎮員山里
20200117 15:05,121.0354,24.7908,1337,竹東鎮員山里
20200117 15:05,121.0363,24.7960,1338,竹東鎮員山里
20200117 15:05,121.0345,24.7859,1339,竹東鎮員山里
20200117 15:06,121.0404,24.8076,1340,竹北市隘口里
20200117 15:07,121.0405,24.8085,1344,竹北市隘口里
20200117 15:09,121.0420,24.8116,1349,竹北市東海里
20200117 15:10,121.0531,24.8421,1362,新埔鎮上寮里
20200117 15:10,121.0637,24.8331,1363,新埔鎮旱坑里
20200117 15:10,121.0632,24.8424,1364,新埔鎮南平里
20200117 15:11,121.0692,24.8722,1367,湖口鄉湖口村
20200117 15:11,121.0661,24.8723,1368,湖口鄉湖口村
20200117 15:12,121.0774,24.8910,1369,湖口鄉長嶺村
20200117 15:12,121.0795,24.8975,1372,湖口鄉長嶺村
20200117 15:12,121.0688,24.8790,1373,湖口鄉湖口村
20200117 15:13,121.0961,24.9147,1376,楊梅區三湖里
20200117 15:13,121.0888,24.9117,1377,楊梅區上湖里
20200117 15:13,121.0853,24.9062,1378,楊梅區上湖里
20200117 15:13,121.0961,24.9131,1379,楊梅區三湖里
20200117 15:13,121.0888,24.9117,1380,楊梅區上湖里
20200117 15:13,121.0844,24.9048,1381,楊梅區上湖里
20200117 15:13,121.0822,24.9014,1383,楊梅區上湖里
20200117 15:14,121.1274,24.9457,1385,楊梅區上田里
20200117 15:14,121.1114,24.9379,1386,楊梅區瑞原里
20200117 15:14,121.1259,24.9450,1387,楊梅區上田里
20200117 15:14,121.1282,24.9460,1392,楊梅區上田里
20200117 15:14,121.1172,24.9407,1393,楊梅區上田里
20200117 15:14,121.1320,24.9476,1394,楊梅區上田里
