datetime,x,y,seq
20200117 17:29,121.7879,24.6791,1845
20200117 17:29,121.7839,24.6777,1846
20200117 17:29,121.7877,24.6793,1848
20200117 17:29,121.7839,24.6777,1849
20200117 17:29,121.7879,24.6791,1853
20200117 17:29,121.7839,24.6777,1855
20200117 17:30,121.7778,24.6782,1857
20200117 17:30,121.7839,24.6777,1858
20200117 17:30,121.7811,24.6776,1859
20200117 17:30,121.7761,24.6777,1860
20200117 17:30,121.7814,24.6776,1861
20200117 17:30,121.7778,24.6782,1865
20200117 17:30,121.7813,24.6777,1867
20200117 17:31,121.7777,24.6787,1868
20200117 17:31,121.7776,24.6750,1870
20200117 17:31,121.7777,24.6787,1871
20200117 17:32,121.7779,24.6796,1874
20200117 17:33,121.7761,24.6777,1881
20200117 17:38,121.7723,24.6801,1894
20200117 17:38,121.7752,24.6777,1895
20200117 17:38,121.7723,24.6801,1896
20200117 17:38,121.7752,24.6777,1897
20200117 17:38,121.7726,24.6801,1900
20200117 17:38,121.7777,24.6793,1901
20200117 17:38,121.7723,24.6801,1902
20200117 17:38,121.7752,24.6777,1904
20200117 17:38,121.7723,24.6801,1905
20200117 17:38,121.7752,24.6777,1906
20200117 17:38,121.7723,24.6801,1907
20200117 17:38,121.7752,24.6777,1910
20200117 17:38,121.7723,24.6801,1911
20200117 17:42,121.7748,24.6808,1920
20200117 18:08,121.7723,24.6801,1975
20200117 18:09,121.7743,24.6749,1980
20200117 18:09,121.7726,24.6801,1981
20200117 18:09,121.7753,24.6777,1983
20200117 18:09,121.7721,24.6802,1984
